file,class,method,variable,usage
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,isAllAgreedRoomsCleaned/0,roomCleaned,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,RoomCleaning/1[java.util.Set<java.lang.String>],agreedRooms,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,"cleaned/2[java.time.Instant,java.lang.String]",endedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/sealedclasses/RoomCleaning.java,com.jabaddon.practices.pna.sealedclasses.RoomCleaning,"cleaned/2[java.time.Instant,java.lang.String]",roomCleaned,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,performService/1[java.time.Instant],startedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,wasServicePerformed/0,completedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,wasServicePerformed/0,startedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,wasServicePerformed/0,confirmedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,completeService/1[java.time.Instant],completedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Plumbing.java,com.jabaddon.practices.pna.polymorhic_solution.Plumbing,confirmService/1[java.time.Instant],confirmedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,performService/1[java.time.Instant],startedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,wasServicePerformed/0,endedAt,2
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,wasServicePerformed/0,startedAt,2
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,wasServicePerformed/0,agreedHours,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,Babysitting/1[int],agreedHours,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/Babysitting.java,com.jabaddon.practices.pna.polymorhic_solution.Babysitting,endService/1[java.time.Instant],endedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,RoomCleaning/1[java.util.Set<java.lang.String>],agreedRooms,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,"cleaned/2[java.time.Instant,java.lang.String]",endedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,"cleaned/2[java.time.Instant,java.lang.String]",roomCleaned,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,isAllAgreedRoomsCleaned/0,agreedRooms,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,isAllAgreedRoomsCleaned/0,roomCleaned,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,performService/1[java.time.Instant],startedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,wasServicePerformed/0,endedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/pna/polymorhic_solution/RoomCleaning.java,com.jabaddon.practices.pna.polymorhic_solution.RoomCleaning,wasServicePerformed/0,startedAt,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/singleresponsibility/UserProfile.java,com.jabaddon.practices.singleresponsibility.UserProfile,asHTML/0,email,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/singleresponsibility/UserProfile.java,com.jabaddon.practices.singleresponsibility.UserProfile,asHTML/0,username,1
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/singleresponsibility/UserProfile.java,com.jabaddon.practices.singleresponsibility.UserProfile,"UserProfile/2[java.lang.String,java.lang.String]",email,3
/Users/rafael.gutierrez/Projects/JAbaddon/Repositories/jabaddon-java-learning/polymorphism_n_alternatives/src/main/java/com/jabaddon/practices/singleresponsibility/UserProfile.java,com.jabaddon.practices.singleresponsibility.UserProfile,"UserProfile/2[java.lang.String,java.lang.String]",username,3
